project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	issue
jbuf	65608	dbgi_001187	canonical	dbgi_001187		Lonicera xylosteum L.			7.1567926	46.79261	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001187		missing_extraction
jbuf	65609	dbgi_001178	canonical	dbgi_001178		Euonymus alatus Sieb.			7.1573157	46.792202	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001178		missing_extraction
jbuf	65610	dbgi_001177	canonical	dbgi_001177		Euonymus europaeus L.			7.1573076	46.792213	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001177		missing_extraction
jbuf	65611	dbgi_001185	canonical	dbgi_001185		Clematis heracleifolia DC.			7.1564727	46.79239	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001185		missing_extraction
jbuf	65612	dbgi_001188	canonical	dbgi_001188		Clematis recta L.			7.1564775	46.792377	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001188		missing_extraction
jbuf	65613	dbgi_001186	canonical	dbgi_001186		Clematis vitalba L.			7.156504	46.792355	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001186		missing_extraction
jbuf	65614	dbgi_001184	canonical	dbgi_001184		Lonicera periclymenum L.			7.156883	46.792603	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001184		missing_extraction
jbuf	65615	dbgi_001139	canonical	dbgi_001139		Lonicera caprifolium L.			7.156867	46.792603	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001139		missing_extraction
jbuf	65616	dbgi_001176	canonical	dbgi_001176		Lonicera tatarica L.			7.1568427	46.792606	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001176		missing_extraction
jbuf	65617	dbgi_001183	canonical	dbgi_001183		Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'			7.1568065	46.792614	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001183		missing_extraction
jbuf	65618	dbgi_001157	canonical	dbgi_001157		Euonymus fortunei Hand.- Mazz. 'Coloratus'			7.155511	46.793415	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001157		missing_extraction
jbuf	65619	dbgi_001162	canonical	dbgi_001162		Clematis recta L.			7.156672	46.792995	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001162		missing_extraction
jbuf	65620	dbgi_001175	canonical	dbgi_001175		Clematis viticella L.			7.156714	46.792854	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001175		missing_extraction
jbuf	65621	dbgi_001182	canonical	dbgi_001182		Clematis alpina (L.) Mill.			7.1564693	46.79277	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001182		missing_extraction
jbuf	65622	dbgi_001166	canonical	dbgi_001166		Lonicera caerulea L.			7.1562123	46.79258	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001166		missing_extraction
jbuf	65623	dbgi_001158	canonical	dbgi_001158		Lonicera alpigena L.			7.1563687	46.792652	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001158		missing_extraction
jbuf	65624	dbgi_001174	canonical	dbgi_001174		Lonicera nigra L.			7.156427	46.792755	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001174		missing_extraction
jbuf	65625	dbgi_001156	canonical	dbgi_001156		Clematis alpina (L.) Mill.			7.1561465	46.792976	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001156		missing_extraction
jbuf	65626	dbgi_001169	canonical	dbgi_001169		Lonicera japonica Thunb. 'Halliana'			7.155334	46.793	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001169		missing_extraction
jbuf	65634	dbgi	other_noncanonical		Agrimonia eupatoria L.			20240625134458	7.157249	46.79255	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65635	dbgi_1	short_numeric_suffix	dbgi_000001	Rubus idaeus L. 'Autumn Bliss'			20240625135158	7.157231	46.79254	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65637	dbgi_3	short_numeric_suffix	dbgi_000003	Rosa glauca Pourr.			20240625140558	7.1572824	46.79245	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65638	dbgi_4	short_numeric_suffix	dbgi_000004	Stephanandra incisa (Thunb.) Zabel 'Crispa'			20240625141040	7.1573086	46.79241	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65639	dbgi_5	short_numeric_suffix	dbgi_000005	Hyoscyamus niger L.			20240625141853	7.15671	46.792603	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65640	dbgi_6	short_numeric_suffix	dbgi_000006	Petunia integrifolia (Hook.) Schinz et Thell.			20240625142337	7.1567	46.792587	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65664	dbgi_003160	canonical	dbgi_003160		Pinus cembra L.			7.1564445	46.79274	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65669	dbgi_003072	canonical	dbgi_003072		Silene viscaria (L.) Borkh.			7.1565065	46.79273	looks_swapped_ch_lat_lon	false	false	false	false			missing_dried;missing_extraction
jbuf	65678	dbgi_001126	canonical	dbgi_001126		Aconitum vulparia aggr.			7.1564517	46.79245	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001126		missing_extraction
jbuf	65679	dbgi_001123	canonical	dbgi_001123		Aconitum variegatum L.			7.1564527	46.792458	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001123		missing_extraction
jbuf	65680	dbgi_001135	canonical	dbgi_001135		Aconitum forrestii Stapf			7.156461	46.792454	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001135		missing_extraction
jbuf	65681	dbgi_001118	canonical	dbgi_001118		Aconitum carmichaelii Debeaux			7.1564655	46.79246	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001118		missing_extraction
jbuf	65682	dbgi_001128	canonical	dbgi_001128		Delphinium elatum L.			7.156454	46.792473	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001128		missing_extraction
jbuf	65683	dbgi_001114	canonical	dbgi_001114		Delphinium caucasicum C.A.Mey			7.1564636	46.792473	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001114		missing_extraction
jbuf	65684	dbgi_000911	canonical	dbgi_000911		Ranunculus auricomus aggr.			7.1565013	46.792347	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000911		missing_extraction
jbuf	65685	dbgi_001052	canonical	dbgi_001052		Ranunculus acris subsp. friesianus (Jord.) Syme			7.1564984	46.792366	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001052		missing_extraction
jbuf	65686	dbgi_001133	canonical	dbgi_001133		Ranunculus aconitifolius L.			7.1565094	46.79235	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001133		missing_extraction
jbuf	65687	dbgi_001124	canonical	dbgi_001124		Ranunculus repens L.			7.1565065	46.79234	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001124		missing_extraction
jbuf	65688	dbgi_001130	canonical	dbgi_001130		Ranunculus gramineus L.			7.15651	46.792336	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001130		missing_extraction
jbuf	65689	dbgi_001005	canonical	dbgi_001005		Ranunculus arvensis L.			7.156512	46.79233	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001005		missing_extraction
jbuf	65690	dbgi_001131	canonical	dbgi_001131		Ranunculus muricatus L.			7.1565156	46.792324	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001131		missing_extraction
jbuf	65691	dbgi_001137	canonical	dbgi_001137		Aconitum napellus L. s.l.			7.1566734	46.79298	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_001137		missing_extraction
jbuf	65878	dbgi_000390	canonical	dbgi_000390		Impatiens balsamina L.			7.1565857	46.792515	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000390		missing_extraction
jbuf	65879	dbgi_000457	canonical	dbgi_000457		Impatiens x new guinea			7.1566043	46.792515	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000457		missing_extraction
jbuf	65880	dbgi_000475	canonical	dbgi_000475		Aaunknown			7.1566086	46.792515	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000475		missing_extraction
jbuf	65881	dbgi_000474	canonical	dbgi_000474		Cobaea scandens Cav.			7.156636	46.792507	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000474		missing_extraction
jbuf	65882	dbgi_000470	canonical	dbgi_000470		Phlox drummondii Hook.			7.156638	46.792503	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000470		missing_extraction
jbuf	65883	dbgi_000441	canonical	dbgi_000441		Polemonium caeruleum L.			7.156642	46.79251	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000441		missing_extraction
jbuf	65884	dbgi_000460	canonical	dbgi_000460		Phlox amplifolia Britton			7.1566505	46.79251	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000460		missing_extraction
jbuf	65885	dbgi_000476	canonical	dbgi_000476		Gaultheria procumbens L.			7.1566634	46.792496	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000476		missing_extraction
jbuf	65886	dbgi_000471	canonical	dbgi_000471		Vaccinium corymbosum L. 'Patriot'			7.1566668	46.7925	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000471		missing_extraction
jbuf	65887	dbgi_000461	canonical	dbgi_000461					7.1566825	46.792492	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000461		missing_extraction
jbuf	65888	dbgi_000439	canonical	dbgi_000439		Erica terminalis Salisb.			7.1566997	46.792492	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000439		missing_extraction
jbuf	65889	dbgi_000482	canonical	dbgi_000482		Erica vagans L.			7.156702	46.79249	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000482		missing_extraction
jbuf	65890	dbgi_000483	canonical	dbgi_000483		Lysimachia clethroides Duby			7.1566715	46.792507	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000483		missing_extraction
jbuf	65891	dbgi_000477	canonical	dbgi_000477		Lysimachia punctata L.			7.156683	46.792503	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000477		missing_extraction
jbuf	65892	dbgi_000485	canonical	dbgi_000485		Primula veris L. subsp. veris			7.15669	46.792503	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000485		missing_extraction
