project	field_rows	has_dried	missing_dried	has_extraction	missing_extraction	has_aliquot	has_ms
artemisia_absinthium	495	495	0	495	0	0	0
bioblitz_vinesch	257	248	9	245	12	245	245
champex_gradient	479	389	90	389	90	0	0
chemical_ecology	183	0	183	104	79	0	0
droguier_jbn	527	0	527	522	5	0	0
emi	9	0	9	0	9	0	0
heloise_bachelor_FiBL	109	108	1	108	1	108	108
jbb	2	0	2	0	2	0	0
jbc	1695	1574	121	262	1433	0	123
jbn	1332	1304	28	1178	154	0	855
jbn-new	112	0	112	0	112	0	0
jbp	303	302	1	212	91	78	76
jbp-new	551	442	109	327	224	105	0
jbuf	2540	2482	58	1943	597	1931	1176
kew-botanical-gardens	635	620	15	186	449	101	0
medicin_alps	1221	476	745	477	744	101	0
sandbox	1	1	0	1	0	1	0
sbl_20004	37	27	10	37	0	36	26
